MAE,RMSE,SFN,MAPE
105.917915,151.20827,0.9310285,0.28951713
83.81802,138.12086,0.86528397,0.20170744
106.705444,143.93272,0.92160726,0.31968418
111.149155,164.91853,1.2473812,0.27870294
82.630066,133.23637,0.88752186,0.20357434
88.26133,152.63774,0.9633146,0.19324294
140.6744,210.11449,1.1013064,0.3130495
83.78123,133.04262,0.8715865,0.20447616
80.11977,130.12512,0.84693193,0.21441425
83.915596,137.06943,0.8835545,0.20164326
82.546974,138.82385,0.9175724,0.19854325
94.392586,136.55348,0.87945545,0.2478452
112.42512,155.25327,0.9746657,0.33866376
74.979065,115.09728,0.96391535,0.19537832
77.63126,114.14047,0.8610894,0.23480234
71.90182,109.518,0.8361093,0.20502472
73.075134,112.10815,0.8856881,0.20092167
149.7013,207.1748,1.172174,0.4177468
124.02257,170.53665,1.0361998,0.39058387
94.2628,150.63585,0.91372234,0.26143613
95.03453,136.31775,0.9663403,0.2640993
77.46308,126.19014,0.8541876,0.19156525
84.808495,124.45735,0.8815996,0.23505318
122.01494,169.9038,1.0524554,0.33958825
95.171555,152.44078,0.8974289,0.21048531
79.1855,119.51843,0.83800805,0.21949284
86.17573,135.74971,0.8743136,0.20276365
78.9757,129.93018,0.87253094,0.1916039
83.015274,129.33904,0.91670257,0.21873207
95.24862,141.89717,0.89649093,0.28666314
81.82454,123.700485,0.8858877,0.22121155
92.29254,152.48994,0.8983593,0.20570286
214.37029,259.79745,1.258985,0.67401785
91.875496,142.81999,1.1307205,0.24526446
79.88897,121.23669,0.8924429,0.21936953
80.97895,129.51385,0.8901305,0.19936945
79.18818,123.771706,0.8646864,0.18556519
79.545494,120.35537,0.93154067,0.21004291
119.23013,194.76778,1.1734021,0.29503444
122.05862,168.03232,0.95349807,0.3153604
95.427345,154.21767,0.95372087,0.26410168
77.316605,117.95443,0.87374544,0.21447037
79.60326,118.793236,0.8779079,0.22823212
93.36837,138.02403,1.1878076,0.24992056
82.61038,113.62679,0.8565418,0.26612097
73.54484,114.01396,0.84405667,0.19101974
80.94689,129.67177,0.8736943,0.19863857
75.68262,120.732925,0.87411165,0.18770869
77.07718,118.4482,0.90985954,0.21424958
78.31559,125.23469,0.8636893,0.20444618
81.086525,123.81476,0.86497617,0.22303936
77.59609,122.91752,0.8463142,0.19321519
116.236626,163.18045,1.0096872,0.3300362
118.03627,174.14833,1.1828332,0.32626447
111.39284,171.00668,0.9595722,0.2467228
89.795876,124.99001,0.8731134,0.27477646
112.91889,171.77579,1.0453167,0.28716135
88.95592,129.97162,0.9154627,0.25175422
104.71381,161.21628,1.0914263,0.2775435
113.20548,174.91931,1.0478797,0.3302763
89.06866,131.83801,0.8960712,0.23153712
83.123055,133.72968,0.86907655,0.19263601
126.841644,170.74232,0.99183464,0.38217238
98.136856,137.23727,1.0006287,0.26141644
78.73849,113.96386,0.8980814,0.23127887
78.062965,122.71596,0.87665653,0.18975326
74.6379,114.871925,0.8629546,0.19297095
73.735886,114.07567,0.90745956,0.19082235
89.40973,124.67367,0.84954405,0.28161457
80.090775,127.12942,0.86409754,0.1952047
80.473335,119.2127,0.87272,0.2163866
76.66286,114.30442,0.8516221,0.2018091
76.94335,116.227455,0.86145705,0.20174408
97.09729,138.87894,1.1183819,0.27555957
89.97933,123.49008,0.89414966,0.2848166
72.406136,107.93512,0.83845305,0.18982789
73.90966,113.597275,0.8349343,0.18285339
67.984116,103.24978,0.83772665,0.17289017
78.41729,129.38037,0.8500246,0.19239688
85.62821,139.46326,0.8940743,0.19226281
111.21242,173.96623,1.091973,0.28921625
89.311646,127.03703,0.89071035,0.27672195
90.51159,132.69337,0.95834434,0.2453236
97.63955,135.55191,1.271189,0.26479495
122.39741,160.66716,1.0486227,0.42379326
89.94204,129.93178,0.93545985,0.2721229
103.6377,164.62404,0.99360144,0.23632723
78.7408,118.353615,0.93266916,0.21449377
93.9146,133.95572,0.9306187,0.2952856
83.33336,131.09804,0.8685442,0.2171816
90.409546,136.51656,0.9237978,0.23742831
82.411934,132.4485,0.8690281,0.1904064
90.23127,127.00878,0.87944067,0.2676973
125.82461,194.66139,1.4068437,0.2992857
80.56658,115.83436,0.8524734,0.23377605
69.59018,108.2125,0.8267931,0.17362864
90.11401,128.45613,0.90477645,0.24812235
171.92735,244.01537,1.3097538,0.4562369
103.18441,156.41016,0.95515275,0.3021206
